,Year,Season,Player,Pos,Age,Team,G,GS,MPPG,TGP_prior_seasons,TMP_current_season,TMP_prior_seasons
65,1993,regular,Scott Burrell,SF,23,Charlotte Hornets,51,16,15.0,0.0,765.0,0.0
66,1993,regular,Willie Burton,SF,25,Miami Heat,53,1,13.2,0.0,699.5999999999999,0.0
67,1993,regular,Mitchell Butler,SG,23,Washington Bullets,75,19,17.6,0.0,1320.0,0.0
68,1993,regular,Michael Cage,C,32,Seattle Supersonics,82,42,20.8,0.0,1705.6000000000001,0.0
69,1993,regular,Elden Campbell,PF,25,Los Angeles Lakers,76,74,29.6,0.0,2249.6,0.0
70,1993,regular,Tony Campbell,SF,31,TOT,63,14,19.3,0.0,1215.9,0.0
73,1993,regular,Antoine Carr,PF,32,San Antonio Spurs,34,0,13.7,0.0,465.79999999999995,0.0
74,1993,regular,Bill Cartwright,C,36,Chicago Bulls,42,41,18.6,0.0,781.2,0.0
75,1993,regular,Sam Cassell,PG,24,Houston Rockets,66,6,17.0,0.0,1122.0,0.0
76,1993,regular,Duane Causwell,C,25,Sacramento Kings,41,8,16.4,0.0,672.4,0.0
77,1993,regular,Cedric Ceballos,SF,24,Phoenix Suns,53,43,30.2,0.0,1600.6,0.0
78,1993,regular,Tom Chambers,PF,34,Utah Jazz,80,0,23.0,0.0,1840.0,0.0
79,1993,regular,Rex Chapman,SG,26,Washington Bullets,60,59,33.8,0.0,2027.9999999999998,0.0
80,1993,regular,Calbert Cheaney,SG,22,Washington Bullets,65,21,24.7,0.0,1605.5,0.0
81,1993,regular,Pete Chilcutt,PF,25,TOT,76,24,18.0,0.0,1368.0,0.0
84,1993,regular,Doug Christie,SG,23,Los Angeles Lakers,65,34,23.3,0.0,1514.5,0.0
85,1993,regular,Ben Coleman,PF,32,Detroit Pistons,9,0,8.6,0.0,77.39999999999999,0.0
86,1993,regular,Derrick Coleman,PF,26,New Jersey Nets,77,77,36.1,0.0,2779.7000000000003,0.0
87,1993,regular,Bimbo Coles,PG,25,Miami Heat,76,4,22.7,0.0,1725.2,0.0
88,1993,regular,Marty Conlon,C,26,TOT,30,9,19.3,0.0,579.0,0.0
91,1993,regular,Lester Conner,PG,34,Indiana Pacers,11,0,15.4,0.0,169.4,0.0
92,1993,regular,Anthony Cook,PF,26,TOT,25,0,8.1,0.0,202.5,0.0
95,1993,regular,Duane Cooper,PG,24,Phoenix Suns,23,2,5.9,0.0,135.70000000000002,0.0
96,1993,regular,Tyrone Corbin,SF,31,Utah Jazz,82,17,26.2,0.0,2148.4,0.0
97,1993,regular,Chris Corchiani,PG,25,Boston Celtics,51,0,9.2,0.0,469.2,0.0
98,1993,regular,Joe Courtney,PF,24,TOT,52,1,6.6,0.0,343.2,0.0
101,1993,regular,John Crotty,PG,24,Utah Jazz,45,0,7.0,0.0,315.0,0.0
102,1993,regular,Terry Cummings,PF,32,San Antonio Spurs,59,29,19.2,0.0,1132.8,0.0
103,1993,regular,Earl Cureton,PF,36,Houston Rockets,2,0,15.0,0.0,30.0,0.0
104,1993,regular,Dell Curry,SG,29,Charlotte Hornets,82,0,26.5,0.0,2173.0,0.0
105,1993,regular,Michael Curry,SG,25,Philadelphia 76ers,10,0,4.3,0.0,43.0,0.0
106,1993,regular,Lloyd Daniels,SG,26,San Antonio Spurs,65,5,15.1,0.0,981.5,0.0
107,1993,regular,Brad Daugherty,C,28,Cleveland Cavaliers,50,50,36.8,0.0,1839.9999999999998,0.0
108,1993,regular,Antonio Davis,PF,25,Indiana Pacers,81,4,21.4,0.0,1733.3999999999999,0.0
109,1993,regular,Brian Davis,SF,23,Minnesota Timberwolves,68,3,5.5,0.0,374.0,0.0
110,1993,regular,Dale Davis,PF,24,Indiana Pacers,66,64,34.7,0.0,2290.2000000000003,0.0
111,1993,regular,Hubert Davis,SG,23,New York Knicks,56,27,23.8,0.0,1332.8,0.0
112,1993,regular,Terry Davis,PF,26,Dallas Mavericks,15,5,19.1,0.0,286.5,0.0
113,1993,regular,Johnny Dawkins,PG,30,Philadelphia 76ers,72,12,18.7,0.0,1346.3999999999999,0.0
114,1993,regular,Todd Day,SG,24,Milwaukee Bucks,76,39,28.0,0.0,2128.0,0.0
115,1993,regular,Terry Dehere,PG,22,Los Angeles Clippers,64,6,11.9,0.0,761.6,0.0
116,1993,regular,Vinny Del Negro,SG,27,San Antonio Spurs,77,56,25.3,0.0,1948.1000000000001,0.0
117,1993,regular,Bison Dele,C,24,Denver Nuggets,80,1,18.8,0.0,1504.0,0.0
118,1993,regular,Dell Demps,PG,23,Golden State Warriors,2,0,5.5,0.0,11.0,0.0
119,1993,regular,Vlade Divac,C,25,Los Angeles Lakers,79,73,34.0,0.0,2686.0,0.0
120,1993,regular,Sherman Douglas,PG,27,Boston Celtics,78,78,35.8,0.0,2792.3999999999996,0.0
121,1993,regular,Greg Dreiling,C,31,Dallas Mavericks,54,19,12.7,0.0,685.8,0.0
122,1993,regular,Clyde Drexler,SG,31,Portland Trailblazers,68,68,34.3,0.0,2332.3999999999996,0.0
123,1993,regular,Kevin Duckworth,C,29,Washington Bullets,69,52,21.5,0.0,1483.5,0.0
124,1993,regular,Chris Dudley,C,28,Portland Trailblazers,6,3,14.3,0.0,85.80000000000001,0.0
125,1993,regular,Joe Dumars,SG,30,Detroit Pistons,69,69,37.6,0.0,2594.4,0.0
126,1993,regular,Acie Earl,C,23,Boston Celtics,74,8,15.5,0.0,1147.0,0.0
127,1993,regular,Bill Edwards,PF,22,Philadelphia 76ers,3,0,14.7,0.0,44.099999999999994,0.0
128,1993,regular,Blue Edwards,SF,28,Milwaukee Bucks,82,64,28.3,0.0,2320.6,0.0
